ticket_id,subject,description,category,urgency
1165,Search results lag significantly,Typing a search query causes a long delay before any results appear on screen. Let me know if you need more details.,Performance Issue,High
1086,Charged twice this month,My card was charged two times for the same subscription plan this billing cycle. I have already tried clearing my cache.,Billing Issue,Medium
1245,Ability to customize dashboard widgets,It would help to rearrange or hide dashboard widgets based on personal preference.,Feature Request,Medium
1217,Need bulk export option,Please add a way to export multiple reports at once instead of one at a time. Please help as soon as possible.,Feature Request,Critical
1243,Request for a cheaper billing tier,It would be useful to have a lower cost plan for smaller teams like ours. This is affecting my whole team.,Feature Request,High
1046,Cannot log into my account,I keep getting an invalid credentials issue even after resetting my password. Please help as soon as possible.,Access Issue,Critical
1012,Cannot log into my account,I keep getting an invalid credentials error even after resetting my password. Not sure if this is a known issue.,Access Issue,High
1199,Frequent timeouts on peak hours,During business hours the application times out repeatedly when loading reports. I have already tried clearing my cache.,Performance Issue,High
1149,Broken image upload in profile,Uploading a profile picture fails with a generic issue message every single time.,Product Defect,Critical
1156,Video streaming buffers constantly,The in-app video tutorials buffer every few seconds even on a fast connection. Please help as soon as possible.,Performance Issue,Medium
1117,Settings page freezes on load,Opening the settings menu freezes the whole app and I have to force close it. Not sure if this is a known issue.,Product Defect,Medium
1050,Invoice amount does not match plan,The invoice I received shows a higher amount than what my current plan should cost. Not sure if this is a known issue.,Billing Issue,Medium
1241,Request for a cheaper billing tier,It would be useful to have a lower cost plan for smaller teams like ours. Not sure if this is a known issue.,Feature Request,Medium
1027,Login page is extremely slow to respond,The login screen takes ages to load before I can even enter my password. Let me know if you need more details.,Access Issue,Medium
1043,New employee cannot access dashboard,Our new hire was given credentials but the dashboard shows a permission denied screen. This is affecting my whole team.,Access Issue,Low
1153,Application freezes randomly,The whole application freezes at random moments and I have to restart it. This has been going on for two days now.,Performance Issue,High
1131,Broken image upload in profile,Uploading a profile picture fails with a generic error message every single time. I have already tried clearing my cache.,Product Defect,Medium
1004,New employee cannot access dashboard,Our new hire was given credentials but the dashboard shows a permission denied screen. Happens on both desktop and mobile.,Access Issue,Low
1017,New employee cannot access dashboard,Our new hire was given credentials but the dashboard shows a permission denied screen. I have already tried clearing my cache.,Access Issue,Low
1128,Data not saving after edit,"I edit a record, click save, but the changes disappear after refreshing the page. I have already tried clearing my cache.",Product Defect,Medium
1071,Coupon code not applied at checkout,I entered a valid discount coupon but the final price did not change at all. I have already tried clearing my cache.,Billing Issue,High
1240,Add calendar integration,Could you integrate with Google Calendar so deadlines sync automatically.,Feature Request,Critical
1236,Request for keyboard shortcuts,Power users would benefit a lot from keyboard shortcuts for common actions. Happens on both desktop and mobile.,Feature Request,High
